type,bias_squared_0,bias_squared_1,bias_squared_2,variance_0,variance_1,variance_2
bootstrap,1.8988544244920796e-07,4.8246446713520642e-12,3.9952568178149155e-10,0.001042128251972348,4.5762482648164551e-06,1.1861903037081402e-07
synthetic,0.032205323366137559,0.00013226932391594348,1.5286263711398486e-06,0.00088883757334832971,4.0038557909863519e-06,1.0382856027676627e-07
