income_bound_l,income_bound_r,educ_bound_l,educ_bound_r,age_bound_l,age_bound_r,value
9.0,10.0,10.0,11.0,80.0,85.0,131
9.0,10.0,15.0,16.0,20.0,25.0,7
0.0,1.0,12.0,13.0,65.0,70.0,19
4.0,5.0,9.0,10.0,60.0,65.0,12
11.0,12.000000099999999,16.0,17.000000100000001,85.0,90.0,9
6.0,7.0,15.0,16.0,25.0,30.0,2
6.0,7.0,7.0,8.0,55.0,60.0,7
9.0,10.0,8.0,9.0,65.0,70.0,193
1.0,2.0,13.0,14.0,60.0,65.0,1
11.0,12.000000099999999,5.0,6.0,60.0,65.0,8
11.0,12.000000099999999,5.0,6.0,45.0,50.0,13
0.0,1.0,15.0,16.0,25.0,30.0,39
9.0,10.0,9.0,10.0,20.0,25.0,2076
0.0,1.0,12.0,13.0,35.0,40.0,191
8.0,9.0,11.0,12.0,65.0,70.0,113
7.0,8.0,3.0,4.0,60.0,65.0,5
7.0,8.0,6.0,7.0,40.0,45.0,9
9.0,10.0,10.0,11.0,55.0,60.0,220
6.0,7.0,4.0,5.0,45.0,50.0,10
9.0,10.0,4.0,5.0,50.0,55.0,116
11.0,12.000000099999999,14.0,15.0,75.0,80.0,69
7.0,8.0,13.0,14.0,85.0,90.0,3
11.0,12.000000099999999,7.0,8.0,90.0,95.0,1
8.0,9.0,3.0,4.0,45.0,50.0,34
11.0,12.000000099999999,9.0,10.0,70.0,75.0,92
8.0,9.0,16.0,17.000000100000001,25.0,30.0,4
8.0,9.0,12.0,13.0,50.0,55.0,83
8.0,9.0,5.0,6.0,80.0,85.0,92
6.0,7.0,6.0,7.0,75.0,80.0,3
7.0,8.0,15.0,16.0,35.0,40.0,4
6.0,7.0,6.0,7.0,30.0,35.0,7
6.0,7.0,2.0,3.0,70.0,75.0,1
3.0,4.0,11.0,12.0,50.0,55.0,2
0.0,1.0,6.0,7.0,90.0,95.0,6
11.0,12.000000099999999,9.0,10.0,35.0,40.0,476
6.0,7.0,13.0,14.0,65.0,70.0,2
10.0,11.0,9.0,10.0,20.0,25.0,999
0.0,1.0,5.0,6.0,75.0,80.0,24
10.0,11.0,1.0,2.0,60.0,65.0,31
3.0,4.0,12.0,13.0,35.0,40.0,2
9.0,10.0,11.0,12.0,45.0,50.0,588
11.0,12.000000099999999,4.0,5.0,45.0,50.0,14
6.0,7.0,13.0,14.0,45.0,50.0,18
8.0,9.0,4.0,5.0,80.0,85.0,133
6.0,7.0,9.0,10.0,25.0,30.0,42
0.0,1.0,3.0,4.0,35.0,40.0,25
10.0,11.0,6.0,7.0,55.0,60.0,130
0.0,1.0,7.0,8.0,65.0,70.0,16
11.0,12.000000099999999,7.0,8.0,60.0,65.0,15
3.0,4.0,9.0,10.0,60.0,65.0,2
0.0,1.0,14.0,15.0,70.0,75.0,27
0.0,1.0,1.0,2.0,65.0,70.0,37
7.0,8.0,8.0,9.0,85.0,90.0,5
4.0,5.0,13.0,14.0,50.0,55.0,5
4.0,5.0,9.0,10.0,65.0,70.0,2
4.0,5.0,8.0,9.0,20.0,25.0,2
7.0,8.0,5.0,6.0,60.0,65.0,11
7.0,8.0,8.0,9.0,15.0,20.0,90
0.0,1.0,11.0,12.0,30.0,35.0,228
0.0,1.0,13.0,14.0,65.0,70.0,29
0.0,1.0,14.0,15.0,75.0,80.0,12
7.0,8.0,13.0,14.0,80.0,85.0,8
11.0,12.000000099999999,6.0,7.0,75.0,80.0,9
11.0,12.000000099999999,6.0,7.0,60.0,65.0,14
4.0,5.0,6.0,7.0,50.0,55.0,1
10.0,11.0,12.0,13.0,45.0,50.0,1149
4.0,5.0,13.0,14.0,30.0,35.0,4
9.0,10.0,6.0,7.0,90.0,95.0,44
8.0,9.0,4.0,5.0,55.0,60.0,78
6.0,7.0,3.0,4.0,55.0,60.0,6
