income_bound_l,income_bound_r,educ_bound_l,educ_bound_r,age_bound_l,age_bound_r,value
8.0,9.0,15.0,16.0,75.0,80.0,21.707266940015586
10.0,11.0,2.0,3.0,50.0,55.0,38.70624936353647
9.0,10.0,5.0,6.0,15.0,20.0,36.06671054517156
6.0,7.0,15.0,16.0,35.0,40.0,9.6341252913669
0.0,1.0,9.0,10.0,20.0,25.0,540.806603644991
7.0,8.0,16.0,17.000000100000001,55.0,60.0,3.3330592800527814
10.0,11.0,1.0,2.0,40.0,45.0,56.545655689867566
2.0,3.0,11.0,12.0,45.0,50.0,1.7024379764838566
7.0,8.0,16.0,17.000000100000001,45.0,50.0,5.4528952771229395
4.0,5.0,11.0,12.0,20.0,25.0,6.319504744109526
5.0,6.0,4.0,5.0,25.0,30.0,6.196414188744456
5.0,6.0,7.0,8.0,25.0,30.0,2.3490438082082985
10.0,11.0,7.0,8.0,65.0,70.0,62.27389293464153
8.0,9.0,14.0,15.0,40.0,45.0,82.11375959024748
5.0,6.0,8.0,9.0,45.0,50.0,-0.060168395528674035
7.0,8.0,4.0,5.0,45.0,50.0,10.132173991163128
8.0,9.0,5.0,6.0,75.0,80.0,104.12702189313066
10.0,11.0,3.0,4.0,40.0,45.0,41.29599620154403
0.0,1.0,14.0,15.0,35.0,40.0,127.9453325965669
5.0,6.0,9.0,10.0,70.0,75.0,7.748596283904579
2.0,3.0,12.0,13.0,60.0,65.0,0.18193608075808554
11.0,12.000000099999999,14.0,15.0,60.0,65.0,360.4467225364405
9.0,10.0,10.0,11.0,80.0,85.0,129.48933481751652
9.0,10.0,15.0,16.0,20.0,25.0,-1.094780904089875
0.0,1.0,12.0,13.0,65.0,70.0,18.465753300562884
4.0,5.0,9.0,10.0,60.0,65.0,10.716727653558417
11.0,12.000000099999999,16.0,17.000000100000001,85.0,90.0,10.746025302798587
6.0,7.0,15.0,16.0,25.0,30.0,1.8946736633951242
6.0,7.0,7.0,8.0,55.0,60.0,5.93370440183745
9.0,10.0,8.0,9.0,65.0,70.0,195.34352670654258
1.0,2.0,13.0,14.0,60.0,65.0,2.1994488381847344
11.0,12.000000099999999,5.0,6.0,60.0,65.0,8.783135566142109
11.0,12.000000099999999,5.0,6.0,45.0,50.0,13.605872125111059
0.0,1.0,15.0,16.0,25.0,30.0,38.261791183443755
9.0,10.0,9.0,10.0,20.0,25.0,2076.0960689639587
0.0,1.0,12.0,13.0,35.0,40.0,191.7507242886539
8.0,9.0,11.0,12.0,65.0,70.0,110.43234472547361
7.0,8.0,3.0,4.0,60.0,65.0,5.835168794529716
7.0,8.0,6.0,7.0,40.0,45.0,10.293804865068278
9.0,10.0,10.0,11.0,55.0,60.0,219.85130099764086
6.0,7.0,4.0,5.0,45.0,50.0,9.161117107088492
9.0,10.0,4.0,5.0,50.0,55.0,119.20916020878109
11.0,12.000000099999999,14.0,15.0,75.0,80.0,69.02761404408973
7.0,8.0,13.0,14.0,85.0,90.0,4.012229500318423
11.0,12.000000099999999,7.0,8.0,90.0,95.0,1.2665102458080684
8.0,9.0,3.0,4.0,45.0,50.0,29.85240529254462
11.0,12.000000099999999,9.0,10.0,70.0,75.0,92.3141628952812
8.0,9.0,16.0,17.000000100000001,25.0,30.0,2.6575924778649
8.0,9.0,12.0,13.0,50.0,55.0,83.20845279486527
8.0,9.0,5.0,6.0,80.0,85.0,91.4901042983717
6.0,7.0,6.0,7.0,75.0,80.0,3.491273208085467
7.0,8.0,15.0,16.0,35.0,40.0,6.375095862510167
6.0,7.0,6.0,7.0,30.0,35.0,6.185938742478499
6.0,7.0,2.0,3.0,70.0,75.0,2.8138540786156176
3.0,4.0,11.0,12.0,50.0,55.0,1.853665477360657
0.0,1.0,6.0,7.0,90.0,95.0,2.6041561098557184
11.0,12.000000099999999,9.0,10.0,35.0,40.0,482.5324935391764
6.0,7.0,13.0,14.0,65.0,70.0,-2.853880478711093
10.0,11.0,9.0,10.0,20.0,25.0,999.6741821609022
0.0,1.0,5.0,6.0,75.0,80.0,26.202793426246718
10.0,11.0,1.0,2.0,60.0,65.0,31.747184082117567
3.0,4.0,12.0,13.0,35.0,40.0,7.897604851914303
9.0,10.0,11.0,12.0,45.0,50.0,589.5008663992746
11.0,12.000000099999999,4.0,5.0,45.0,50.0,11.929410764410873
6.0,7.0,13.0,14.0,45.0,50.0,16.20383743365067
8.0,9.0,4.0,5.0,80.0,85.0,129.41640709667402
6.0,7.0,9.0,10.0,25.0,30.0,41.28253280864224
0.0,1.0,3.0,4.0,35.0,40.0,25.604470158502817
10.0,11.0,6.0,7.0,55.0,60.0,129.95252910050075
0.0,1.0,7.0,8.0,65.0,70.0,11.429893117361438
11.0,12.000000099999999,7.0,8.0,60.0,65.0,13.41225903145801
3.0,4.0,9.0,10.0,60.0,65.0,3.149879198786584
0.0,1.0,14.0,15.0,70.0,75.0,27.667937692236045
0.0,1.0,1.0,2.0,65.0,70.0,35.20534240061053
7.0,8.0,8.0,9.0,85.0,90.0,16.664540341189273
4.0,5.0,13.0,14.0,50.0,55.0,12.010090440968876
4.0,5.0,9.0,10.0,65.0,70.0,1.7594100658042102
4.0,5.0,8.0,9.0,20.0,25.0,2.6086829917829406
7.0,8.0,5.0,6.0,60.0,65.0,11.98129458792007
7.0,8.0,8.0,9.0,15.0,20.0,96.41436233852441
0.0,1.0,11.0,12.0,30.0,35.0,225.04847939301916
0.0,1.0,13.0,14.0,65.0,70.0,29.91041089529964
0.0,1.0,14.0,15.0,75.0,80.0,11.326693293333776
7.0,8.0,13.0,14.0,80.0,85.0,0.8293503277356695
11.0,12.000000099999999,6.0,7.0,75.0,80.0,7.9427689499378085
11.0,12.000000099999999,6.0,7.0,60.0,65.0,13.219608506655444
4.0,5.0,6.0,7.0,50.0,55.0,-0.8314331958935646
10.0,11.0,12.0,13.0,45.0,50.0,1154.021578085342
4.0,5.0,13.0,14.0,30.0,35.0,0.9643051060483026
9.0,10.0,6.0,7.0,90.0,95.0,43.97001062668452
8.0,9.0,4.0,5.0,55.0,60.0,78.75282938190085
6.0,7.0,3.0,4.0,55.0,60.0,-1.0655454253653192
2.0,3.0,5.0,6.0,50.0,55.0,0.9157149708176654
9.0,10.0,1.0,2.0,40.0,45.0,65.71552155801076
0.0,1.0,7.0,8.0,40.0,45.0,37.2129556330128
0.0,1.0,12.0,13.0,70.0,75.0,15.831406505546372
9.0,10.0,9.0,10.0,70.0,75.0,1677.7281245922075
11.0,12.000000099999999,5.0,6.0,20.0,25.0,3.2573798962545983
8.0,9.0,8.0,9.0,50.0,55.0,66.22561329684152
6.0,7.0,9.0,10.0,50.0,55.0,42.99475214071143
9.0,10.0,1.0,2.0,90.0,95.0,25.581508474743448
7.0,8.0,11.0,12.0,60.0,65.0,26.00621956113619
11.0,12.000000099999999,3.0,4.0,75.0,80.0,4.97345013510159
2.0,3.0,3.0,4.0,55.0,60.0,2.540694359379663
10.0,11.0,10.0,11.0,55.0,60.0,482.46438161904564
11.0,12.000000099999999,9.0,10.0,40.0,45.0,512.7559414458917
2.0,3.0,9.0,10.0,30.0,35.0,5.220227781517706
7.0,8.0,3.0,4.0,75.0,80.0,2.880656109801448
