defense_type,defense_factor,successes,false_positives,false_negatives,success_rate,root_mse
1.0,1.0,99.0,0.0,1.0,0.98999999999999999,1.4142135623730954
1.0,2.0,99.0,0.0,1.0,0.98999999999999999,1.0076567883341827
1.0,3.0,98.599999999999994,0.10000000000000001,1.3,0.9860000000000001,1.8208965419748733
1.0,4.0,97.200000000000003,0.0,2.7999999999999998,0.97199999999999986,1.7217044087356848
1.0,5.0,96.299999999999997,0.20000000000000001,3.5,0.96299999999999986,2.4249237037657023
1.0,6.0,90.900000000000006,0.90000000000000002,8.1999999999999993,0.90900000000000014,2.5470112280592674
1.0,7.0,87.400000000000006,1.2,11.4,0.87399999999999989,3.1084463592613392
1.0,8.0,85.599999999999994,0.90000000000000002,13.5,0.85599999999999987,3.3304045869420613
1.0,9.0,82.900000000000006,0.90000000000000002,16.199999999999999,0.82899999999999996,3.9847050906492014
1.0,10.0,81.5,0.90000000000000002,17.600000000000001,0.81500000000000006,4.2044522993714653
1.0,11.0,80.400000000000006,0.90000000000000002,18.699999999999999,0.80399999999999994,4.6571367928732483
1.0,12.0,76.599999999999994,2.1000000000000001,21.300000000000001,0.76600000000000001,4.8648673717098934
1.0,13.0,74.900000000000006,1.3999999999999999,23.699999999999999,0.749,5.6413757130876716
1.0,14.0,71.299999999999997,2.2000000000000002,26.5,0.71299999999999986,5.872028363397404
1.0,15.0,71.799999999999997,2.2999999999999998,25.899999999999999,0.71800000000000008,5.7933834352442073
1.0,16.0,71.299999999999997,2.7999999999999998,25.899999999999999,0.71299999999999997,6.0210003486681414
1.0,17.0,74.5,1.8999999999999999,23.600000000000001,0.745,7.0672293495435552
1.0,18.0,69.299999999999997,1.6000000000000001,29.100000000000001,0.69299999999999995,8.3145609827179641
1.0,19.0,67.700000000000003,1.5,30.800000000000001,0.67699999999999994,9.0265400516875847
1.0,20.0,65.5,1.5,33.0,0.65500000000000003,8.7256457537333709
1.0,21.0,68.900000000000006,1.7,29.399999999999999,0.68900000000000006,8.2421411191889327
1.0,22.0,63.799999999999997,4.0999999999999996,32.100000000000001,0.63800000000000001,7.2177852146403207
1.0,23.0,66.099999999999994,4.2999999999999998,29.600000000000001,0.66099999999999992,6.7746475745271626
1.0,24.0,64.200000000000003,5.2000000000000002,30.600000000000001,0.64200000000000002,7.0426418901744565
1.0,25.0,64.299999999999997,4.7000000000000002,31.0,0.64300000000000002,8.2087015459986095
1.0,26.0,68.799999999999997,4.0,27.199999999999999,0.68799999999999994,9.6729232248644585
1.0,27.0,68.5,2.2999999999999998,29.199999999999999,0.68499999999999994,11.723853810445259
1.0,28.0,65.700000000000003,2.6000000000000001,31.699999999999999,0.65699999999999992,13.21551769853229
1.0,29.0,64.700000000000003,2.2000000000000002,33.100000000000001,0.64700000000000002,15.102699636962816
1.0,30.0,62.600000000000001,1.8999999999999999,35.5,0.626,16.071625976104322
1.0,31.0,62.0,1.3,36.700000000000003,0.61999999999999988,17.079623649460142
1.0,32.0,59.100000000000001,2.1000000000000001,38.799999999999997,0.59099999999999997,17.599292063218059
1.0,33.0,57.700000000000003,1.7,40.600000000000001,0.57699999999999996,17.774180197030145
1.0,34.0,59.600000000000001,2.0,38.399999999999999,0.59599999999999997,17.266541301720626
1.0,35.0,59.100000000000001,2.1000000000000001,38.799999999999997,0.59099999999999997,16.598055715281557
1.0,36.0,60.100000000000001,2.2999999999999998,37.600000000000001,0.60100000000000009,15.636214984773961
1.0,37.0,59.100000000000001,2.6000000000000001,38.299999999999997,0.59099999999999997,14.596808242495687
1.0,38.0,60.100000000000001,3.3999999999999999,36.5,0.60099999999999998,13.664621477994467
1.0,39.0,59.600000000000001,4.0,36.399999999999999,0.59599999999999997,12.451605742466942
1.0,40.0,63.399999999999999,4.2000000000000002,32.399999999999999,0.63400000000000001,11.515143533806617
1.0,41.0,62.5,5.0999999999999996,32.399999999999999,0.62499999999999989,10.098733983118194
1.0,42.0,61.700000000000003,4.7999999999999998,33.5,0.61699999999999988,9.2759452974389589
1.0,43.0,66.299999999999997,3.8999999999999999,29.800000000000001,0.66300000000000003,8.2969088443399954
1.0,44.0,64.599999999999994,5.2000000000000002,30.199999999999999,0.64600000000000002,7.6036432526223194
1.0,45.0,65.700000000000003,4.9000000000000004,29.399999999999999,0.65699999999999992,7.2022086770218765
1.0,46.0,66.200000000000003,5.0,28.800000000000001,0.66200000000000003,6.7155089731215041
1.0,47.0,65.299999999999997,4.4000000000000004,30.300000000000001,0.65300000000000002,6.9222950305520046
1.0,48.0,66.799999999999997,4.4000000000000004,28.800000000000001,0.66800000000000004,7.3128574072115224
1.0,49.0,66.5,5.2999999999999998,28.199999999999999,0.66500000000000004,7.4087295489141116
1.0,50.0,66.099999999999994,4.9000000000000004,29.0,0.66100000000000014,8.4242332532026172
1.0,51.0,66.900000000000006,4.7999999999999998,28.300000000000001,0.66900000000000004,9.3443625865353255
